Constituency,Raila,Ruto,Mwaure,Wajackoyah,ValidVotes
Changamwe,24237,19098,73,186,43594
Chomvi,20863,13962,51,227,35103
Kisauni,35576,22025,,,57601
Likoni,24387,12755,,,37142
Mvita,24433,22210,,,46643
Nyali,31717,23613,109,568,56007
Gatanga,15117,53443,272,323,69155
Kandara,11118,59613,255,305,71291
Kangema,5456,29242,137,130,34965
Kigumo,11170,45949,219,260,57598
Kiharu,13113,66678,,,79791
Maragwa,11271,55962,216,324,67773
Mathioya,6293,32313,149,214,38969
Dagoretti North,52452,23975,,,76427
Dagoretti South,26947,40120,230,328,67625
Embakasi Central,42580,39412,177,279,82448
Embakasi East,51463,29539,,,81002
Embakasi North,35573,33401,120,160,69254
Embakasi South,52884,27543,,,80427
Embakasi West,45039,34736,290,422,80487
Kamkunji,35530,25815,,,61345
Kasarani,35027,55300,573,498,91398
Kibra,55230,19321,232,291,75074
Langata,51192,28901,,,80093
Makadara,43352,30138,283,332,74105
Mathare,41177,24814,97,258,66346
Roysambu,31022,59165,399,398,90984
Ruaraka,58539,15182,68,159,73948
Strarehe,46755,43633,,,90388
Westlands,55531,28746,,,84277
Bahati,18668,44847,,,63515
Gilgil,20997,39225,246,275,60743
Kuresoi North,8353,40542,57,85,49037
Kuresoi South,782,49010,24,65,49881
Molo,18632,29472,132,149,48385
Naivasha,36487,61915,293,429,99124
Nakuru Town East,34223,40942,296,382,75843
Nakuru Town West,36824,32982,119,211,70136
Njoro,28954,44747,203,271,74175
Rongai,13799,42232,96,134,56261
Subukia,8301,29772,101,149,38323
Aldai,6919,51402,60,125,58506
Chesumei,5700,49681,53,103,55537
Emgwen,7602,41086,57,85,48830
Mosop,1180,60343,46,46,61615
Nandi Hills,3471,38308,40,45,41864
Tinderet,927,39998,24,41,40990
Emurua Dikiir,501,35186,30,36,35753
Kilgoris,30603,26436,,,57039
Narok East,23686,12164,28,45,35923
Narok North,,,,,0
Narok South,27484,29340,,,56824
Narok West,28853,25073,22,177,54125
Borabu,23778,12044,,,35822
Kitutu Masaba,45526,23846,128,281,69781
North Mugirango,23588,18965,66,166,42785
West Mugirango,33834,19787,,,53621
Kinangop,15359,61960,260,328,77907
Kipipiri,7816,28770,138,181,36905
