County,Constituency,Code,RegisteredVoters,Raila,Ruto,Mwaure,Wajackoyah
Kitui,Mwingi North,67,68829,31655,11508,230,424
Kitui,Mwingi West,68,57138,26470,8855,162,302
Kwale,Kinango,10,98123,36159,17398,145,283
Kwale,Lungalunga,8,64854,22941,10350,98,188
Kwale,Matuga,9,83078,32722,11901,95,365
Kwale,Msambweni,7,82261,33795,12259,76,301
Laikipia,Laikipia East,164,96595,13333,48635,167,264
Laikipia,Laikipia North,165,47752,14630,13160,43,82
Laikipia,Laikipia West,163,118986,20943,57192,222,258
Lamu,Lamu East,21,22047,9564,4639,48,452
Lamu,Lamu West,22,59421,16598,18237,138,396
Machakos,Kangundo,77,60796,29808,8405,93,365
Machakos,Kathiani,79,60224,30984,6624,91,300
Machakos,Machakos Town,81,117444,50114,19677,196,540
Machakos,Masinga,75,68879,33981,9031,112,238
Machakos,Matungulu,78,75841,33249,11991,146,346
Machakos,Mavoko,80,132163,46183,22051,203,380
Machakos,Mwala,82,89898,42286,13267,113,411
Machakos,Yatta,76,82446,38225,10391,121,325
Makueni,Kaiti,85,65188,33617,7659,95,272
Makueni,Kibwezi East,88,64740,27072,9762,81,270
Makueni,Kibwezi West,87,91554,40909,12689,102,304
Makueni,Kilome,84,59178,28166,7023,82,233
Makueni,Makueni,86,102827,48774,12492,90,418
Makueni,Mbooni,83,96029,50649,9706,122,351
Mandera,Banissa,40,32703,20555,2841,31,79
Mandera,Lafey,44,18564,9473,2690,19,61
Mandera,Mandera East,43,48223,18304,7315,41,141
Mandera,Mandera North,41,45216,20359,3080,67,111
Mandera,Mandera South,42,,,,,
Mandera,Mandera West,39,37637,20531,5160,67,156
Marsabit,Laisamis,48,33446,4161,18776,35,62
Marsabit,Moyale,45,66408,20595,23768,69,112
Marsabit,North Horr,46,36855,23160,3040,29,66
Marsabit,Saku,47,30235,7725,13231,11,63
Meru,Buuri,57,82341,7107,46441,78,206
Meru,Central Imenti,58,76495,6001,47078,119,277
Meru,Igembe Central,52,93471,13343,45495,165,294
Meru,Igembe North,53,77050,12149,36747,113,279
Meru,Igembe South,51,77126,13033,36399,111,310
Meru,North Imenti,56,96623,9680,51696,101,242
Meru,South Imenti,59,115657,9706,69050,140,435
Meru,Tigania East,55,,,,,
Meru,Tigania West,54,70283,8823,36454,112,310
Migori,Awendo,254,55972,42227,474,12,54
Migori,Kuria East,260,41976,12031,16795,62,144
Migori,Kuria West,259,62244,11970,28933,108,186
Migori,Nyatike,258,73432,54898,453,16,72
Migori,Rongo,253,59181,44944,578,20,57
Migori,Suna East,255,54495,38391,2128,27,74
Migori,Suna West,256,56888,42327,795,15,57
Migori,Uriri,257,65063,47250,2458,32,126
Mombasa,Changamwe,1,93561,24237,19098,73,186
Mombasa,Jomvu,2,75085,20863,13962,51,227
Mombasa,Kisauni,3,,,,,
Mombasa,Likoni,5,94764,24444,12908,47,244
Mombasa,Mvita,6,,,,,
Mombasa,Nyali,4,124253,31717,23613,109,568
Muranga,Gatanga,110,101296,15117,53443,272,323
Muranga,Kandara,109,105148,11118,59613,255,305
Muranga,Kangema,104,52002,5456,29242,137,130
Muranga,Kigumo,107,82609,11170,45949,219,260
Muranga,Kiharu,106,119465,13114,66959,284,386
Muranga,Maragwa,108,102405,11271,55962,216,324
Muranga,Mathioya,105,58102,6293,32313,149,214
Nairobi City,Dagoretti North,275,157659,56560,25744,468,438
Nairobi City,Dagoretti South,276,114930,26947,40120,230,328
Nairobi City,Embakasi Central,284,145892,42580,39412,177,279
Nairobi City,Embakasi East,285,,,,,
Nairobi City,Embakasi North,283,113344,35573,33401,120,160
Nairobi City,Embakasi South,282,,,,,
Nairobi City,Embakasi West,286,141878,45039,34736,290,422
Nairobi City,Kamukunji,288,128516,35552,25830,99,253
Nairobi City,Kasarani,280,155250,35027,55300,573,498
Nairobi City,Kibra,278,128282,55230,19321,232,291
Nairobi City,Langata,277,145870,51163,27871,534,528
Nairobi City,Makadara,287,129627,43352,30138,283,332
Nairobi City,Mathare,290,123163,41177,24814,97,258
Nairobi City,Roysambu,279,154711,31022,59165,399,398
Nairobi City,Ruaraka,281,124482,58539,15182,68,159
Nairobi City,Starehe,289,,,,,
Nairobi City,Westlands,274,,,,,
Nakuru,Bahati,174,97040,18668,44847,256,291
Nakuru,Gilgil,169,95654,20997,39225,246,275
Nakuru,Kuresoi North,171,70663,8353,40542,57,85
Nakuru,Kuresoi South,170,66168,782,49010,24,65
Nakuru,Molo,166,77027,18632,29472,132,149
Nakuru,Naivasha,168,157606,36487,61915,293,429
Nakuru,Nakuru Town East,176,125551,34223,40942,296,382
Nakuru,Nakuru Town West,175,112308,36824,32982,119,211
Nakuru,Njoro,167,113274,28954,44747,203,271
Nakuru,Rongai,173,84625,13799,42232,96,134
Nakuru,Subukia,172,55599,8301,29772,101,149
Nandi,Aldai,152,78005,6919,51402,60,125
Nandi,Chesumei,154,74201,5700,49681,53,103
Nandi,Emgwen,155,67045,7602,41086,57,85
Nandi,Mosop,156,77786,1180,60343,46,46
Nandi,Nandi Hills,153,57910,3471,38308,40,45
Nandi,Tinderet,151,51446,927,39998,24,41
Narok,Emurua Dikirr,178,44040,501,35186,30,36
Narok,Kilgoris,177,,,,,
Narok,Narok East,180,46535,23686,12164,28,45
Narok,Narok North,179,,,,,
Narok,Narok South,181,,,,,
Narok,Narok West,182,,,,,
Nyamira,Borabu,273,,,,,
Nyamira,Kitutu Masaba,270,106269,45526,23846,128,281
Nyamira,North Mugirango,272,64750,23588,18965,66,166
Nyamira,West Mugirango,271,,,,,
Nyandarua,Kinangop,89,115547,15359,61960,260,328
Nyandarua,Kipipiri,90,54628,7816,28770,138,181
Nyandarua,Ndaragwa,93,57486,7232,30875,93,140
Nyandarua,Ol Jorok,92,60199,7581,31982,140,164
Nyandarua,Ol Kalou,91,72997,11202,35690,202,232
Nyeri,Kieni,95,114573,11894,62507,199,261
Nyeri,Mathira,96,104492,9328,63715,139,257
Nyeri,Mukurweini,98,58534,5514,34322,132,163
Nyeri,Nyeri Town,99,87536,12088,43576,237,286
Nyeri,Othaya,97,0,7249,36606,145,205
Nyeri,Tetu,94,54986,5970,31781,130,172
Samburu,Samburu East,135,26794,8147,9098,17,71
Samburu,Samburu North,134,29830,14598,7015,17,63
Samburu,Samburu West,133,43429,18992,12206,28,104
Siaya,Alego Usonga,234,122009,85301,865,40,166
Siaya,Bondo,236,104035,73603,720,22,94
Siaya,Gem,235,93568,63438,702,41,143
Siaya,Rarieda,237,84849,61067,661,40,141
Siaya,Ugenya,232,69027,47252,842,49,103
Siaya,Ugunja,233,60114,40540,517,17,88
Taita Taveta,Mwatate,25,44411,20376,6010,54,193
Taita Taveta,Taveta,23,41062,21069,6690,42,136
Taita Taveta,Voi,26,,,,,
Taita Taveta,Wundanyi,24,35047,16847,4309,75,238
Tana River,Bura,20,,,,,
Tana River,Galole,19,39979,16744,11566,109,178
Tana River,Garsen,18,,,,,
Tharaka - Nithi,Chuka/igambang'ombe,61,84708,5249,53038,173,345
Tharaka - Nithi,Maara,60,73248,4902,45182,134,275
Tharaka - Nithi,Tharaka,62,74010,4877,46582,154,522
Trans Nzoia,Cherangany,140,91668,27278,34981,89,162
Trans Nzoia,Endebess,137,50688,13954,18255,50,78
Trans Nzoia,Kiminini,139,93240,34863,20924,113,264
Trans Nzoia,Kwanza,136,75839,29040,16162,82,181
Trans Nzoia,Saboti,138,87633,27269,26410,80,196
Turkana,Loima,126,36515,13042,8025,36,57
Turkana,Turkana Central,125,55997,18848,14089,82,128
Turkana,Turkana East,128,20000,11080,1367,19,46
Turkana,Turkana North,123,42994,15318,10675,43,41
Turkana,Turkana South,127,40432,20472,3088,51,79
Turkana,Turkana West,124,42673,17107,9288,44,86
Uasin Gishu,Ainabkoi,144,62611,8620,35401,50,86
Uasin Gishu,Kapseret,145,74933,14900,35218,60,92
Uasin Gishu,Kesses,146,77992,8966,45653,61,88
Uasin Gishu,Moiben,143,77877,6772,49625,54,51
Uasin Gishu,Soy,141,92702,10824,55903,49,107
Uasin Gishu,Turbo,142,120202,25950,51062,116,166
Vihiga,Emuhaya,215,50185,21531,9440,104,295
Vihiga,Hamisi,213,80384,31133,14589,86,282
Vihiga,Luanda,214,,,,,
Vihiga,Sabatia,212,,,,,
Vihiga,Vihiga,211,52309,17140,12432,84,232
Wajir,Eldas,37,,,,,
Wajir,Tarbaj,35,25267,8912,9735,51,96
Wajir,Wajir East,34,35803,13712,8152,36,120
Wajir,Wajir North,33,33927,12853,8202,61,145
Wajir,Wajir South,38,,,,,
Wajir,Wajir West,36,31334,14845,6305,16,58
West Pokot,Kacheliba,131,,,,,
West Pokot,Kapenguria,129,66556,15042,35242,57,101
West Pokot,Pokot South,132,58536,17489,28825,66,132
West Pokot,Sigor,130,43934,13774,21261,55,102
